# This file is generated; do not edit manually.
# cache: 111ee1c Cache version 2026-09-23-c1-rev240
id,zoom2d,xOffset2d,yOffset2d,resizeX,resizeY,resizeZ,boughtTemplateId,boughtId,variants
0,1780,-4,12,,,,,,
1,1164,-3,2,,,,,,
2,1400,1,,,,,,,
3,844,2,3,,,,,,
4,2160,8,,,,,,,
5,844,2,3,,,,,,
6,2590,-2,-4,,,,,,
8,1750,,106,,,,,,
10,,,-3,,,,,,
12,1170,2,-19,,,,,,
14,1730,4,-3,,,,,,
15,670,-3,10,,,,,,
16,490,,-2,,,,,,
17,830,2,,,,,,,
18,700,4,10,,,,,,
19,670,,,,,,,,
24,900,,,,,,,,
25,990,9,9,,,,,,
26,1190,-5,-11,,,,,,
27,1360,-4,1,,,,,,
28,1430,,-6,,,,,,
30,1020,,-18,,,,,,
32,570,,-2,,,,,,
33,570,,-2,,,,,,
34,570,,-2,,,,,,
35,1500,6,17,,,,,,
36,570,,-2,,,,,,
38,570,,-2,,,,,,
39,780,4,4,,,,,,
40,780,4,4,,,,,,
41,780,4,4,,,,,,
42,780,4,4,,,,,,
43,780,4,4,,,,,,
44,780,4,4,,,,,,
45,300,1,,,,,,,2:9199|3:9200|4:9201|5:9202
46,300,1,,,,,,,2:9199|3:9200|4:9201|5:9202
47,724,1,1,,,,,,
48,1820,2,15,,,,,,
50,1200,7,2,,,,,,
52,1220,6,-29,,,,,,2:6440|3:6441|4:6442|5:6443
53,1220,6,-29,,,,,,2:6444|3:6445|4:6446|5:6447
54,1200,7,2,,,,,,
56,1820,2,15,,,,,,
58,1820,2,15,,,,,,
60,1200,7,2,,,,,,
62,1820,2,15,,,,,,
64,1200,7,2,,,,,,
66,1820,2,15,,,,,,
68,1200,7,2,,,,,,
70,1820,2,15,,,,,,
72,1200,7,2,,,,,,
74,640,1,-4,,,,,,
75,1250,-1,,,,,,,
76,890,6,7,,,,,,
77,970,,-1,,,,,,
78,1220,6,-29,,,,,,2:81|3:80|4:79|5:82
79,1220,6,-29,,,,,,
80,1220,6,-29,,,,,,
81,1220,6,-29,,,,,,
82,1220,6,-29,,,,,,
83,830,,25,,,,,,
84,1942,-5,2,,,,,,
85,700,-3,5,,,,,,
86,420,-1,-5,,,,,,
87,420,-1,-5,,,,,,
88,770,1,-6,,,,,,
89,770,1,-6,,,,,,
90,1360,,-15,,,,,,
91,550,,-1,,,,,,
93,550,,-1,,,,,,
95,550,,-1,,,,,,
97,550,,-1,,,,,,
99,550,,-1,,,,,,
101,550,,-1,,,,,,
103,550,,-1,,,,,,
105,550,,-1,,,,,,
107,550,,-1,,,,,,
109,550,,-1,,,,,,
111,550,,-1,,,,,,
113,550,,-1,,,,,,
