# This file is generated; do not edit manually.
# cache: d11b59a Cache version 2026-08-26-rev240
# wiki items fetched: 2026-08-26T16:05:25Z
id,release_date,removal_date,quest,category,male_model0,male_model1,male_model2,female_model0,female_model1,female_model2
0,1053993600,2147483647,true,0,-1,-1,-1,-1,-1,-1
1,1053993600,2147483647,true,0,-1,-1,-1,-1,-1,-1
2,1053993600,2147483647,false,1176,-1,-1,-1,-1,-1,-1
3,1053993600,2147483647,true,0,-1,-1,-1,-1,-1,-1
4,1053993600,2147483647,true,0,-1,-1,-1,-1,-1,-1
5,1053993600,2147483647,false,0,-1,-1,-1,-1,-1,-1
6,1053993600,2147483647,true,75,-1,-1,-1,-1,-1,-1
8,1053993600,2147483647,true,75,-1,-1,-1,-1,-1,-1
10,1053993600,2147483647,true,75,-1,-1,-1,-1,-1,-1
12,1053993600,2147483647,true,75,-1,-1,-1,-1,-1,-1
14,1053993600,2147483647,true,0,-1,-1,-1,-1,-1,-1
15,1027382400,2147483647,true,0,-1,-1,-1,-1,-1,-1
16,1027382400,2147483647,true,0,-1,-1,-1,-1,-1,-1
17,1027382400,2147483647,true,0,-1,-1,-1,-1,-1,-1
18,1027382400,2147483647,true,0,-1,-1,-1,-1,-1,-1
19,1027382400,2147483647,true,0,-1,-1,-1,-1,-1,-1
20,1024272000,2147483647,true,0,-1,-1,-1,-1,-1,-1
21,1024272000,2147483647,true,0,-1,-1,-1,-1,-1,-1
22,1024272000,2147483647,true,0,-1,-1,-1,-1,-1,-1
23,1024272000,2147483647,true,0,-1,-1,-1,-1,-1,-1
24,1024272000,2147483647,true,0,-1,-1,-1,-1,-1,-1
25,1022544000,2147483647,true,0,-1,-1,-1,-1,-1,-1
26,1022544000,2147483647,true,0,-1,-1,-1,-1,-1,-1
27,1022544000,2147483647,true,0,-1,-1,-1,-1,-1,-1
28,1014768000,2147483647,true,0,-1,-1,-1,-1,-1,-1
30,1014768000,2147483647,true,0,-1,-1,-1,-1,-1,-1
32,1014768000,2147483647,true,0,-1,-1,-1,-1,-1,-1
33,1014768000,2147483647,false,0,-1,-1,-1,-1,-1,-1
35,1014768000,2147483647,true,21,-1,-1,-1,-1,-1,-1
36,1014768000,2147483647,false,0,-1,-1,-1,-1,-1,-1
38,1014768000,2147483647,true,0,-1,-1,-1,-1,-1,-1
39,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
40,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
41,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
42,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
43,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
44,1017014400,2147483647,false,968,-1,-1,-1,-1,-1,-1
45,1080518400,2147483647,false,530,-1,-1,-1,-1,-1,-1
46,1031529600,2147483647,false,530,-1,-1,-1,-1,-1,-1
47,1080518400,2147483647,false,530,-1,-1,-1,-1,-1,-1
48,1017014400,2147483647,false,0,-1,-1,-1,-1,-1,-1
50,1017014400,2147483647,false,0,-1,-1,-1,-1,-1,-1
52,1017014400,2147483647,false,0,-1,-1,-1,-1,-1,-1
