# This file is generated; do not edit manually.
# cache: cb77808 Cache version 2026-08-19-rev240
id,ambient,contrast,render_priority
0,0,0,1
1,-30,-150,1
8,-25,-75,0
9,10,100,0
11,-25,-75,0
13,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
24,0,0,1
25,0,0,1
85,20,100,0
86,20,100,0
87,20,100,0
88,20,100,0
89,20,100,0
90,20,100,0
91,20,100,0
92,20,100,0
93,20,100,0
94,20,100,0
95,20,100,0
96,20,100,0
97,20,100,0
98,20,100,0
99,20,100,0
107,50,0,0
108,50,0,0
109,30,0,0
110,20,0,0
119,0,0,1
139,15,75,0
141,60,300,0
155,0,0,1
221,0,0,1
222,0,0,1
223,0,0,1
224,0,0,1
225,0,0,1
226,0,0,1
227,0,0,1
228,0,0,1
229,0,0,1
230,0,0,1
270,15,75,0
271,15,75,0
272,15,75,0
273,15,75,0
274,15,75,0
275,15,75,0
276,0,0,1
277,0,0,1
278,0,0,1
279,0,0,1
280,0,0,1
281,20,0,0
282,20,0,0
283,20,0,0
284,20,0,0
285,20,0,0
288,0,0,1
297,0,0,1
298,0,0,1
305,0,0,1
306,0,0,1
307,0,0,1
308,0,0,1
311,0,0,1
312,75,0,0
314,0,0,1
315,10,100,1
316,0,0,1
317,0,0,1
318,30,150,0
319,0,0,1
320,0,0,1
321,0,0,1
322,0,0,1
323,0,0,1
326,0,0,1
327,0,0,1
337,0,0,1
368,0,0,1
372,0,0,1
375,0,0,1
376,0,0,1
377,15,500,1
378,15,500,1
380,0,0,1
388,30,150,0
390,0,0,1
392,0,0,1
402,0,0,1
403,0,0,1
404,0,0,1
405,0,0,1
425,30,150,0
433,60,300,0
434,62,310,0
435,58,290,0
436,65,325,0
448,30,0,0
449,30,0,0
450,30,0,0
451,30,0,0
452,30,0,0
453,30,0,0
454,30,0,0
455,30,0,0
456,30,0,0
457,30,0,0
458,30,150,1
459,30,150,0
460,30,150,0
461,30,150,0
462,30,150,0
463,30,150,0
472,20,100,0
473,20,100,0
474,20,100,0
488,0,0,1
490,0,0,1
491,0,0,1
492,30,150,0
493,30,150,0
494,30,150,0
495,30,150,0
496,30,150,0
497,30,150,0
498,30,150,1
499,30,150,1
500,0,0,1
501,0,0,1
502,0,0,1
503,0,0,1
504,0,0,1
505,20,100,0
506,20,100,0
507,20,100,0
534,0,0,1
537,10,50,0
539,0,0,1
540,40,0,1
541,40,0,0
542,0,0,1
543,0,0,1
544,0,0,1
545,0,0,1
546,0,0,1
547,0,0,1
550,0,0,1
551,0,0,1
552,0,0,1
553,0,0,1
554,0,0,1
555,0,0,1
556,0,0,1
557,0,0,1
558,0,0,1
559,0,0,1
560,0,0,1
600,0,0,1
638,0,0,1
645,70,0,0
646,60,0,0
647,80,0,0
655,15,0,0
656,15,0,0
657,15,0,0
658,15,0,0
659,15,0,0
660,15,0,0
661,15,0,0
662,15,0,0
663,15,0,0
664,15,0,0
665,15,0,0
666,15,0,0
667,15,0,0
668,15,0,0
669,15,0,1
670,15,0,1
671,15,0,0
672,15,0,0
673,15,0,0
674,15,0,0
675,0,0,1
676,0,0,1
682,0,0,1
683,0,0,1
696,0,0,1
697,0,0,1
710,65,0,0
711,90,0,0
712,85,0,0
713,80,0,0
714,75,0,0
715,70,0,0
724,60,300,0
725,60,300,0
726,60,300,0
727,60,300,0
728,60,300,0
731,0,0,1
738,0,0,1
740,0,0,1
742,0,0,1
743,0,0,1
744,0,0,1
745,0,0,1
746,0,0,1
747,0,0,1
748,0,0,1
749,0,0,1
759,0,0,1
760,0,0,1
761,0,0,1
777,40,200,0
778,40,200,0
779,40,200,0
780,40,200,0
781,40,200,0
782,40,200,0
783,40,200,0
784,40,200,0
785,40,200,0
786,40,200,0
787,14,40,0
788,14,40,0
789,14,40,0
790,14,40,0
791,14,40,0
792,14,40,0
793,14,40,0
794,0,0,1
797,0,0,1
798,0,0,1
799,0,0,1
808,80,0,0
814,0,0,1
815,0,0,1
816,0,0,1
818,0,0,1
819,0,0,1
820,15,0,1
821,0,0,1
822,0,0,1
823,0,0,1
824,0,0,1
825,0,0,1
826,0,0,1
827,0,0,1
828,0,0,1
829,0,0,1
831,0,0,1
832,0,0,1
833,0,0,1
834,0,0,1
835,0,0,1
836,0,0,1
837,0,0,1
838,0,0,1
839,0,0,1
840,0,0,1
841,0,0,1
842,0,0,1
843,0,0,1
844,0,0,1
845,0,0,1
847,0,0,1
848,0,0,1
852,0,0,1
853,0,0,1
854,0,0,1
855,0,0,1
856,0,0,1
857,0,0,1
858,0,0,1
859,0,0,1
912,20,0,0
918,0,0,1
920,20,100,0
922,35,175,1
923,0,0,1
924,5,0,1
943,0,0,1
944,0,0,1
948,20,100,0
967,0,0,1
968,0,0,1
969,0,0,1
989,0,0,1
996,0,0,1
997,0,0,1
1024,10,50,0
1029,0,0,1
1030,0,0,1
1031,0,0,1
1032,0,0,1
1033,0,0,1
1034,0,0,1
1035,0,0,1
1036,0,0,1
1052,0,0,1
1053,0,0,1
1059,0,0,1
1060,30,150,0
1061,30,150,0
1062,30,150,0
1063,0,0,1
1064,0,0,1
1065,15,150,0
1066,60,300,0
1097,10,0,1
1098,10,0,1
1101,10,0,1
1120,12,60,0
1126,0,0,1
1127,0,0,1
1128,0,0,1
1129,0,0,1
1134,0,0,1
1135,0,0,1
1176,20,0,0
1177,20,0,0
1179,0,0,1
1181,0,0,1
1182,0,0,1
1183,0,0,1
1189,0,0,1
1190,50,250,0
1191,0,0,1
1192,15,0,1
1193,15,0,1
1194,15,0,0
1195,15,0,1
1196,15,0,0
1197,15,0,1
1205,0,0,1
1213,0,0,1
1214,0,0,1
1219,0,0,1
