# This file is generated; do not edit manually.
# cache: 8e40129 Cache version 2026-09-08-rev240
# wiki pets fetched: 2026-09-08T17:28:30Z
# dogs paired from the cache because the wiki lacks them: 24
item_id,npc_ids,npc_models
# Cat (Grey and black)
1561,1619|6662,
# Cat (White)
1562,1620|6663,
# Cat (Brown)
1563,1621|6664,
# Cat (Black)
1564,1622|6665,
# Cat (Grey and brown)
1565,1623|6666,
# Cat (Grey and blue)
1566,1624|6667,
# Pet rock
3695,5983|6657,
# Fishbowl (pet) (Bluefish)
6670,6658,
# Fishbowl (pet) (Greenfish)
6671,6659,
# Fishbowl (pet) (Spinefish)
6672,6660,
# Hellcat (Overgrown)
7581,5604|6682,13409
# Hellcat (Cat)
7582,1625|6668,13409
# Hellcat (Kitten)
7583,5597,13410
# Hellcat (Lazy)
7584,1632|6689,13411
# Hellcat (Wily)
7585,5590|6696,13412
# Toy cat
7771,2782|6661,
# Pet Chaos Elemental
11995,2055|5907,
# Pet Dagannoth Supreme
12643,6626|6628,
# Pet Dagannoth Prime
12644,6627|6629,9940
# Pet Dagannoth Rex
12645,6630|6641,
# Baby Mole (Mole)
12646,6635|6651,
# Kalphite Princess (Walking)
12647,6638|6654,24598
# Pet Smoke Devil (Thermonuclear)
12648,6639|6655,
# Pet Kree'arra
12649,6631|6643,28019|28021|28020
# Pet General Graardor
12650,6632|6644,27660
# Pet Zilyana
12651,6633|6646,27989|27937|27985|27968|27990
# Pet K'ril Tsutsaroth
12652,6634|6647,27681|27692|27682
# Prince Black Dragon
12653,6636|6652,17429
# Kalphite Princess (Flying)
12654,6637|6653,
# Pet Kraken
12655,6640|6656,
# Pet Penance Queen
12703,6642|6674,20717|20715|20714|20709|20710|20716
# Pet dark core (Dark core)
12816,318|388,
# Pet Snakeling (Normal)
12921,2127|2130,
# Pet Snakeling (Magma)
12939,2128|2131,
# Pet Snakeling (Tanzanite)
12940,2129|2132,
# Chompy chick
13071,4001|4002,
# Venenatis spiderling (Normal)
13177,495|5557,47393
# Callisto cub (Normal)
13178,497|5558,
# Vet'ion Jr. (Normal)
13179,5536|5559,47387|47384
# Vet'ion Jr. (Reborn)
13180,5537|5560,47383|47385
# Scorpia's offspring
13181,5547|5561,
# TzRek-Jad (TzRek-Jad)
13225,5892|5893,
# Hellpuppy
13247,964|3099,
# Abyssal orphan
13262,5883|5884,
# Heron (Regular)
13320,6715|6722,
# Rock golem (Rock)
13321,7439|7451,
# Beaver (Normal)
13322,12169|12181,
# Baby chinchompa (Red)
13323,6718|6756,
# Baby chinchompa (Grey)
13324,6719|6757,
# Baby chinchompa (Black)
13325,6720|6758,
# Baby chinchompa (Gold)
13326,6721|6759,
# Bloodhound
19730,6296|7232,
# Giant Squirrel (Giant)
20659,7334|7351,
# Tangleroot (Normal)
20661,7335|7352,
# Rocky (Raccoon)
20663,7336|7353,
# Rift guardian (Fire)
20665,7337|7354,
# Rift guardian (Air)
20667,7338|7355,
# Rift guardian (Mind)
20669,7339|7356,
# Rift guardian (Water)
20671,7340|7357,
# Rift guardian (Earth)
20673,7341|7358,
# Rift guardian (Body)
20675,7342|7359,
# Rift guardian (Cosmic)
20677,7343|7360,
# Rift guardian (Chaos)
20679,7344|7361,
# Rift guardian (Nature)
20681,7345|7362,
# Rift guardian (Law)
20683,7346|7363,
# Rift guardian (Death)
20685,7347|7364,
# Rift guardian (Soul)
20687,7348|7365,
# Rift guardian (Astral)
20689,7349|7366,
# Rift guardian (Blood)
20691,7350|7367,
# Phoenix (Regular)
20693,7368|7370,
# Olmlet (Olmlet)
20851,7519|7520,32697
# Rock golem (Tin)
21187,7440|7452,
# Rock golem (Copper)
21188,7441|7453,
# Rock golem (Iron)
21189,7442|7454,
# Rock golem (Blurite)
21190,7443|7455,
# Rock golem (Silver)
21191,7444|7642,
# Rock golem (Coal)
21192,7445|7643,
# Rock golem (Gold)
21193,7446|7644,
# Rock golem (Mithril)
21194,7447|7645,
# Rock golem (Granite)
