# This file is generated; do not edit manually.
# cache: 6de4085 Cache version 2026-09-02-rev240
id,variantId
45,9199
45,9200
45,9201
45,9202
46,9199
46,9200
46,9201
46,9202
52,6440
52,6441
52,6442
52,6443
53,6444
53,6445
53,6446
53,6447
78,79
78,80
78,81
78,82
598,2542
598,2543
598,2544
598,2545
877,3807
877,3808
877,3809
877,3810
878,3811
878,3812
878,3813
878,3814
879,3815
879,3816
879,3817
879,3818
880,3819
880,3820
880,3821
880,3822
881,3823
881,3824
881,3825
881,3826
882,894
882,895
882,896
882,897
883,898
883,899
883,900
883,901
884,902
884,903
884,904
884,905
885,906
885,907
885,908
885,909
886,910
886,911
886,912
886,913
887,914
887,915
887,916
887,917
888,918
888,919
888,920
888,921
889,922
889,923
889,924
889,925
890,926
890,927
890,928
890,929
891,930
891,931
891,932
891,933
892,934
892,935
892,936
892,937
893,938
893,939
893,940
893,941
942,2546
942,2547
942,2548
942,2549
995,996
995,997
995,998
995,999
995,1000
995,1001
995,1002
995,1003
995,1004
1793,5276
1793,5277
1793,5278
1793,5279
2532,2542
2532,2543
2532,2544
2532,2545
2533,2546
2533,2547
2533,2548
2533,2549
2534,2542
2534,2543
2534,2544
2534,2545
2535,2546
2535,2547
2535,2548
2535,2549
2536,2542
2536,2543
2536,2544
2536,2545
2537,2546
2537,2547
2537,2548
2537,2549
2538,2542
2538,2543
2538,2544
2538,2545
2539,2546
2539,2547
2539,2548
2539,2549
2540,2542
2540,2543
2540,2544
2540,2545
2541,2546
2541,2547
2541,2548
2541,2549
2864,7923
2864,7924
2864,7925
2864,7926
2865,11160
2865,11161
2865,11162
2865,11163
2866,2867
2866,2868
2866,2869
2866,2870
4160,4172
4160,4173
4160,4174
4160,4175
4278,4279
4278,4281
4740,4741
4740,4742
4740,4743
4740,4744
4773,4774
4773,4775
4773,4776
4773,4777
4778,4779
4778,4780
4778,4781
4778,4782
4783,4784
4783,4785
4783,4786
4783,4787
4788,4789
4788,4790
4788,4791
4788,4792
4793,4794
4793,4795
4793,4796
4793,4797
4798,4799
4798,4800
4798,4801
4798,4802
4803,4804
4803,4805
4803,4806
4803,4807
5096,5131
5096,5132
5096,5133
5096,5134
5097,5135
5097,5136
5097,5137
5097,5138
5098,5196
5098,5197
5098,5198
5098,5199
5099,5200
5099,5201
5099,5202
5099,5203
5100,5268
5100,5269
5100,5270
5100,5271
5101,5204
5101,5205
5101,5206
5101,5207
5102,5208
5102,5209
5102,5210
5102,5211
5103,5212
5103,5213
5103,5214
5103,5215
5104,5216
5104,5217
5104,5218
5104,5219
5105,5220
5105,5221
5105,5222
5105,5223
5106,5220
5106,5221
5106,5222
5106,5223
5280,5264
5280,5265
5280,5266
5280,5267
5281,5272
5281,5273
5281,5274
5281,5275
5282,5260
5282,5261
5282,5262
5282,5263
5283,5228
5283,5229
5283,5230
5283,5231
5284,5232
5284,5233
5284,5234
5284,5235
5285,5236
5285,5237
5285,5238
5285,5239
5286,5240
